MTU (CET),Day-ahead Price [EUR/MWh]
01.01.2018 00:00 - 01.01.2018 01:00,21.80
01.01.2018 01:00 - 01.01.2018 02:00,26.43
01.01.2018 02:00 - 01.01.2018 03:00,26.10
01.01.2018 03:00 - 01.01.2018 04:00,24.70
01.01.2018 04:00 - 01.01.2018 05:00,24.74
01.01.2018 05:00 - 01.01.2018 06:00,18.01
01.01.2018 06:00 - 01.01.2018 07:00,10.18
01.01.2018 07:00 - 01.01.2018 08:00,17.80
01.01.2018 08:00 - 01.01.2018 09:00,19.76
01.01.2018 09:00 - 01.01.2018 10:00,20.73
01.01.2018 10:00 - 01.01.2018 11:00,24.76
01.01.2018 11:00 - 01.01.2018 12:00,25.68
01.01.2018 12:00 - 01.01.2018 13:00,16.56
01.01.2018 13:00 - 01.01.2018 14:00,13.21
01.01.2018 14:00 - 01.01.2018 15:00,9.15
01.01.2018 15:00 - 01.01.2018 16:00,13.29
01.01.2018 16:00 - 01.01.2018 17:00,27.03
01.01.2018 17:00 - 01.01.2018 18:00,27.43
01.01.2018 18:00 - 01.01.2018 19:00,27.29
01.01.2018 19:00 - 01.01.2018 20:00,26.96
01.01.2018 20:00 - 01.01.2018 21:00,26.70
01.01.2018 21:00 - 01.01.2018 22:00,26.47
01.01.2018 22:00 - 01.01.2018 23:00,26.09
01.01.2018 23:00 - 02.01.2018 00:00,24.88
02.01.2018 00:00 - 02.01.2018 01:00,18.12
02.01.2018 01:00 - 02.01.2018 02:00,14.99
02.01.2018 02:00 - 02.01.2018 03:00,17.79
02.01.2018 03:00 - 02.01.2018 04:00,24.51
02.01.2018 04:00 - 02.01.2018 05:00,11.83
02.01.2018 05:00 - 02.01.2018 06:00,14.55
02.01.2018 06:00 - 02.01.2018 07:00,22.58
02.01.2018 07:00 - 02.01.2018 08:00,41.92
02.01.2018 08:00 - 02.01.2018 09:00,47.95
02.01.2018 09:00 - 02.01.2018 10:00,38.02
02.01.2018 10:00 - 02.01.2018 11:00,35.04
02.01.2018 11:00 - 02.01.2018 12:00,35.22
02.01.2018 12:00 - 02.01.2018 13:00,34.56
02.01.2018 13:00 - 02.01.2018 14:00,34.10
02.01.2018 14:00 - 02.01.2018 15:00,35.98
02.01.2018 15:00 - 02.01.2018 16:00,38.05
02.01.2018 16:00 - 02.01.2018 17:00,41.67
02.01.2018 17:00 - 02.01.2018 18:00,42.39
02.01.2018 18:00 - 02.01.2018 19:00,45.06
02.01.2018 19:00 - 02.01.2018 20:00,41.08
