MTU (CET),Day-ahead Price [EUR/MWh]
01.01.2018 00:00 - 01.01.2018 01:00,27.20
01.01.2018 01:00 - 01.01.2018 02:00,27.30
01.01.2018 02:00 - 01.01.2018 03:00,30.10
01.01.2018 03:00 - 01.01.2018 04:00,20.87
01.01.2018 04:00 - 01.01.2018 05:00,25.56
01.01.2018 05:00 - 01.01.2018 06:00,25.58
01.01.2018 06:00 - 01.01.2018 07:00,25.81
01.01.2018 07:00 - 01.01.2018 08:00,29.90
01.01.2018 08:00 - 01.01.2018 09:00,26.33
01.01.2018 09:00 - 01.01.2018 10:00,26.38
01.01.2018 10:00 - 01.01.2018 11:00,29.90
01.01.2018 11:00 - 01.01.2018 12:00,34.90
01.01.2018 12:00 - 01.01.2018 13:00,35.80
01.01.2018 13:00 - 01.01.2018 14:00,40.40
01.01.2018 14:00 - 01.01.2018 15:00,34.15
01.01.2018 15:00 - 01.01.2018 16:00,31.00
01.01.2018 16:00 - 01.01.2018 17:00,30.00
01.01.2018 17:00 - 01.01.2018 18:00,34.30
01.01.2018 18:00 - 01.01.2018 19:00,30.50
01.01.2018 19:00 - 01.01.2018 20:00,32.00
01.01.2018 20:00 - 01.01.2018 21:00,32.00
01.01.2018 21:00 - 01.01.2018 22:00,27.34
01.01.2018 22:00 - 01.01.2018 23:00,27.40
01.01.2018 23:00 - 02.01.2018 00:00,23.79
02.01.2018 00:00 - 02.01.2018 01:00,25.07
02.01.2018 01:00 - 02.01.2018 02:00,23.19
02.01.2018 02:00 - 02.01.2018 03:00,25.03
02.01.2018 03:00 - 02.01.2018 04:00,24.76
02.01.2018 04:00 - 02.01.2018 05:00,24.91
02.01.2018 05:00 - 02.01.2018 06:00,25.98
02.01.2018 06:00 - 02.01.2018 07:00,22.58
02.01.2018 07:00 - 02.01.2018 08:00,41.92
02.01.2018 08:00 - 02.01.2018 09:00,47.95
02.01.2018 09:00 - 02.01.2018 10:00,49.90
02.01.2018 10:00 - 02.01.2018 11:00,50.00
02.01.2018 11:00 - 02.01.2018 12:00,49.70
02.01.2018 12:00 - 02.01.2018 13:00,48.16
02.01.2018 13:00 - 02.01.2018 14:00,47.24
02.01.2018 14:00 - 02.01.2018 15:00,46.10
02.01.2018 15:00 - 02.01.2018 16:00,43.86
02.01.2018 16:00 - 02.01.2018 17:00,43.64
02.01.2018 17:00 - 02.01.2018 18:00,47.37
02.01.2018 18:00 - 02.01.2018 19:00,46.08
02.01.2018 19:00 - 02.01.2018 20:00,41.08
02.01.2018 20:00 - 02.01.2018 21:00,34.94
02.01.2018 21:00 - 02.01.2018 22:00,25.46
02.01.2018 22:00 - 02.01.2018 23:00,27.09
02.01.2018 23:00 - 03.01.2018 00:00,28.51
03.01.2018 00:00 - 03.01.2018 01:00,27.74
03.01.2018 01:00 - 03.01.2018 02:00,25.76
03.01.2018 02:00 - 03.01.2018 03:00,21.10
03.01.2018 03:00 - 03.01.2018 04:00,23.60
03.01.2018 04:00 - 03.01.2018 05:00,25.31
03.01.2018 05:00 - 03.01.2018 06:00,25.68
03.01.2018 06:00 - 03.01.2018 07:00,27.45
03.01.2018 07:00 - 03.01.2018 08:00,37.00
03.01.2018 08:00 - 03.01.2018 09:00,39.90
03.01.2018 09:00 - 03.01.2018 10:00,43.10
03.01.2018 10:00 - 03.01.2018 11:00,43.20
03.01.2018 11:00 - 03.01.2018 12:00,45.00
03.01.2018 12:00 - 03.01.2018 13:00,41.40
03.01.2018 13:00 - 03.01.2018 14:00,42.80
03.01.2018 14:00 - 03.01.2018 15:00,39.40
03.01.2018 15:00 - 03.01.2018 16:00,37.00
03.01.2018 16:00 - 03.01.2018 17:00,43.10
03.01.2018 17:00 - 03.01.2018 18:00,59.90
03.01.2018 18:00 - 03.01.2018 19:00,36.67
03.01.2018 19:00 - 03.01.2018 20:00,41.70
03.01.2018 20:00 - 03.01.2018 21:00,47.36
03.01.2018 21:00 - 03.01.2018 22:00,35.80
03.01.2018 22:00 - 03.01.2018 23:00,35.10
03.01.2018 23:00 - 04.01.2018 00:00,35.10
04.01.2018 00:00 - 04.01.2018 01:00,32.40
04.01.2018 01:00 - 04.01.2018 02:00,27.80
04.01.2018 02:00 - 04.01.2018 03:00,31.00
04.01.2018 03:00 - 04.01.2018 04:00,28.00
04.01.2018 04:00 - 04.01.2018 05:00,27.47
04.01.2018 05:00 - 04.01.2018 06:00,27.90
