r,mu,thickness,chord,twist,mass,flap_inertia,edge_inertia,flap_stiffness,edge_stiffness
3,0.025,5.1999,5.2,15.595,3179.1,38335,2922.7,1.5253e+11,1.5241e+11
5.34,0.0445,5.2082,5.2083,15.591,2844.6,34412,2623.5,1.3961e+11,1.3719e+11
7.68,0.064,5.0912,5.2357,15.428,2505.4,27654,2297.5,1.2398e+11,1.2119e+11
10.02,0.0835,4.7707,5.2889,14.987,2150.2,18438,1927.8,1.0323e+11,1.0306e+11
12.36,0.103,4.3191,5.3606,14.322,1807.2,10658,1564.5,8.1628e+10,8.4366e+10
14.7,0.1225,3.8009,5.4433,13.488,1689.8,6327.2,1400.1,6.1775e+10,6.8627e+10
17.625,0.14688,3.5246,5.551,12.291,1296.5,3797.5,1071.7,4.2747e+10,5.1347e+10
20.55,0.17125,3.2381,5.6501,11.022,982.27,2261,809.74,3.2373e+10,3.8985e+10
22.777,0.18981,2.9538,5.711,10.075,796.62,1418,645.28,2.8273e+10,3.1953e+10
25.004,0.20837,2.6905,5.7521,9.1945,664.5,889.46,522.69,2.4819e+10,2.6958e+10
27.231,0.22692,2.4605,5.7672,8.4292,576.48,566.24,434.82,2.1956e+10,2.3761e+10
29.458,0.24548,2.2692,5.7545,7.7771,525.02,354.66,374.71,1.9671e+10,2.2085e+10
31.685,0.26404,2.1244,5.7026,7.1825,492.54,164.76,324.82,1.8052e+10,2.1066e+10
34.132,0.28444,2.0087,5.6007,6.527,467.12,81.713,284.9,1.6718e+10,2.0352e+10
36.58,0.30483,1.9037,5.4632,5.895,452.69,56.699,255.76,1.545e+10,1.9962e+10
39.027,0.32523,1.809,5.3095,5.2942,447.9,48.004,234.88,1.4253e+10,1.9713e+10
41.475,0.34562,1.7231,5.1488,4.7345,443.45,41.725,215.93,1.3012e+10,1.9135e+10
44.057,0.36714,1.644,4.9911,4.2005,438.4,36.671,198.46,1.1771e+10,1.8309e+10
46.638,0.38865,1.5691,4.8498,3.7259,430.39,32.044,181.8,1.0631e+10,1.7266e+10
49.22,0.41017,1.4974,4.7276,3.307,419.95,27.747,166.19,9.6129e+09,1.6059e+10
51.802,0.43168,1.4289,4.6047,2.92,407.73,23.87,150.9,8.6322e+09,1.4703e+10
54.384,0.4532,1.3635,4.4821,2.561,392.44,20.258,135.56,7.6702e+09,1.3064e+10
56.689,0.47241,1.3014,4.3738,2.262,378.15,16.962,122.05,6.8502e+09,1.1618e+10
58.993,0.49161,1.2426,4.2673,1.9803,363.57,13.996,109.02,6.0805e+09,1.0231e+10
61.298,0.51082,1.1865,4.163,1.7136,349.22,11.402,96.838,5.3772e+09,8.9572e+09
63.603,0.53002,1.1325,4.0617,1.458,336.01,9.1894,85.944,4.7536e+09,7.8812e+09
65.908,0.54923,1.0807,3.9635,1.2156,323.61,7.3482,76.363,4.2082e+09,6.9454e+09
68.26,0.56883,1.0313,3.8669,0.98789,311.17,5.8571,67.943,3.7188e+09,6.0485e+09
70.613,0.58844,0.98362,3.773,0.77515,298.72,4.6571,60.67,3.2788e+09,5.2139e+09
72.965,0.60804,0.93773,3.6813,0.57538,286.16,3.7236,54.51,2.8855e+09,4.4368e+09
75.318,0.62765,0.89377,3.5907,0.38019,273.71,3.0279,49.411,2.5337e+09,3.7594e+09
77.67,0.64725,0.85185,3.5008,0.18599,261.46,2.4989,44.976,2.2205e+09,3.1919e+09
79.902,0.66585,0.81212,3.4151,-0.0018951,250.08,2.0822,41.172,1.9443e+09,2.7603e+09
82.134,0.68445,0.77495,3.3288,-0.20329,238.86,1.7492,37.644,1.6797e+09,2.4551e+09
84.366,0.70305,0.7396,3.2416,-0.42529,227.16,1.4686,34.242,1.4338e+09,2.2325e+09
86.598,0.72165,0.70667,3.1551,-0.68354,213.15,1.2214,30.714,1.2064e+09,2.0242e+09
88.83,0.74025,0.67591,3.0695,-0.98187,195.82,0.99657,26.947,9.9661e+08,1.814e+09
91.062,0.75885,0.64704,2.984,-1.2832,177.33,0.8025,23.256,8.1714e+08,1.6088e+09
93.294,0.77745,0.6198,2.898,-1.5752,158.05,0.63657,19.703,6.6504e+08,1.4098e+09
96.6,0.805,0.59423,2.7682,-1.9369,130.81,0.48845,14.848,4.7631e+08,1.1404e+09
98.794,0.82328,0.57022,2.6796,-2.1076,108.07,0.36401,11.551,3.7131e+08,8.7006e+08
100.99,0.84156,0.54751,2.5882,-2.1666,91.509,0.27984,9.1568,2.8939e+08,7.0419e+08
103.18,0.85984,0.52568,2.4939,-2.1761,76.071,0.21241,7.0818,2.2641e+08,5.5074e+08
105.38,0.87813,0.50361,2.3974,-2.1612,62.925,0.15974,5.4238,1.7231e+08,4.3015e+08
107.57,0.89641,0.485,2.2986,-2.1185,52.42,0.12495,4.143,1.2701e+08,3.401e+08
109.76,0.91469,0.46371,2.1977,-2.0489,43.915,0.095687,3.1728,8.9341e+07,2.6969e+08
111.96,0.93297,0.442,2.0947,-1.9514,36.574,0.072401,2.4007,5.9192e+07,2.0835e+08
114.15,0.95125,0.41979,1.9895,-1.8152,30.014,0.053593,1.7771,3.6186e+07,1.5188e+08
117.08,0.97563,0.39,1.8483,-1.5679,21.332,0.032878,1.0902,1.5636e+07,8.8937e+07
120,1,0.1055,0.5,-1.2424,5.408,0.00060993,0.020224,1.8885e+05,1.9207e+06
