Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 01-Dec-2018 at 20:35:30.
Created 01-Dec-2018 20:35:30.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.74409E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000054
 0.0500	 0.000060	 0.002409	 0.000008	 0.000318	-0.000107
 0.0750	 	 	 	 	-0.000175
 0.1000	 0.000250	 0.005340	 0.000035	 0.000767	-0.000243
 0.1250	 	 	 	 	-0.000421
 0.1500	 0.000665	 0.011591	 0.000097	 0.001785	-0.000598
 0.1750	 	 	 	 	-0.000858
 0.2000	 0.001409	 0.018777	 0.000214	 0.002959	-0.001118
 0.2250	 	 	 	 	-0.001992
 0.2500	 0.002578	 0.028936	 0.000401	 0.004686	-0.002861
 0.2750	 	 	 	 	-0.005163
 0.3000	 0.004292	 0.041060	 0.000679	 0.006619	-0.007440
 0.3250	 	 	 	 	-0.009944
 0.3500	 0.006612	 0.053733	 0.001050	 0.008544	-0.012406
 0.3750	 	 	 	 	-0.015048
 0.4000	 0.009579	 0.067504	 0.001518	 0.010530	-0.017627
 0.4250	 	 	 	 	-0.020281
 0.4500	 0.013270	 0.083293	 0.002086	 0.012656	-0.022851
 0.4750	 	 	 	 	-0.025784
 0.5000	 0.017823	 0.102673	 0.002764	 0.015038	-0.028599
 0.5250	 	 	 	 	-0.031845
 0.5500	 0.023431	 0.126280	 0.003565	 0.017626	-0.034926
 0.5750	 	 	 	 	-0.038741
 0.6000	 0.030325	 0.155008	 0.004497	 0.020382	-0.042315
 0.6250	 	 	 	 	-0.046883
 0.6500	 0.038770	 0.189401	 0.005565	 0.023196	-0.051108
 0.6750	 	 	 	 	-0.056308
 0.7000	 0.049093	 0.231159	 0.006772	 0.026002	-0.061034
 0.7250	 	 	 	 	-0.066959
 0.7500	 0.061369	 0.269183	 0.008099	 0.028145	-0.072197
 0.7750	 	 	 	 	-0.078353
 0.8000	 0.075342	 0.300612	 0.009513	 0.029627	-0.083575
 0.8250	 	 	 	 	-0.089864
 0.8500	 0.090674	 0.324765	 0.010985	 0.030556	-0.094931
 0.8750	 	 	 	 	-0.100057
 0.9000	 0.106953	 0.339685	 0.012489	 0.030975	-0.103669
 0.9250	 	 	 	 	-0.107492
 0.9500	 0.123750	 0.346645	 0.014005	 0.031112	-0.109371
 0.9750	 	 	 	 	-0.116218
 1.0000	 0.141035	 0.356628	 0.015529	 0.031237	-0.118565


 -------- Mode No.   2  (freq = 0.11875E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000001
 0.0500	-0.000027	-0.001107	 0.000247	 0.009970	 0.000002
