wind_speed,wind_direction
10.222,266.68
10.514,267.94
10.922,264.77
11.353,264.27
11.926,267.89
12.057,272.52
11.893,275.76
11.852,282.43
11.636,293.66
11.167,309.19
9.7859,327.44
9.6106,324.95
9.8361,320.27
10.426,319.56
11.549,321.54
12.44,323.48
13.139,323.93
13.488,323.95
13.683,328.02
13.966,335.6
13.456,338.96
13.417,337.23
13.234,338.88
13.479,342.42
13.22,344.12
13.899,347.12
13.645,347.62
13.659,348.08
13.284,349.16
12.788,349.61
12.651,349.54
12.721,351.55
12.426,354.41
11.506,357.19
10.368,359.5
9.2309,355.19
9.7902,355.55
9.643,356.63
9.4475,357.58
8.6126,358.53
7.9674,356.98
7.7053,357.15
7.44,357.41
7.1899,358.33
6.9591,356.71
6.6247,354.35
6.5435,348.02
6.7872,345.82
7.0299,345
7.2189,346.03
6.8685,347.83
6.4366,348.48
6.3455,345.37
6.4137,347.58
6.39,349.77
6.3175,343.07
6.4896,344.13
6.3645,347.13
5.4901,352.25
5.0963,346.98
6.7065,352.76
6.6144,356.08
5.7633,355.31
5.8521,351.33
6.1176,349.04
5.8992,346.71
5.9037,344.07
6.1561,348.39
6.2016,350.93
5.7512,352.18
5.0208,356.94
4.3524,351.08
4.7268,336.28
5.1356,333.51
5.5769,327.12
6.4563,318.46
7.352,313.62
7.8709,311.6
7.7739,306.68
7.5782,302.4
7.5484,303.01
7.3401,303.72
7.8398,305.07
8.4091,303.77
7.9354,304.73
8.1588,312.43
8.1927,313.61
8.28,316.92
8.2174,326.3
7.6349,324.24
7.6093,315.26
7.8076,316.19
7.8443,319.63
7.986,316.35
9.4076,324.6
9.1558,325.24
9.973,321.23
11.064,324.05
11.416,326.61
11.443,327.14
11.879,325.88
12.194,326.54
12.161,324.44
11.962,323.11
11.614,324.01
11.121,325.73
11.159,333.26
10.301,330.37
10.126,325.97
10.352,324.76
10.502,326.84
10.294,327.58
9.8546,326.32
9.4261,324.64
9.2039,322.33
9.1012,318.65
9.0922,318.32
9.0149,319.57
8.4862,319.62
8.0966,318.33
8.1158,318.34
8.1266,319.83
8.137,320.69
7.9607,318.74
7.5303,316.27
7.207,314.16
7.2262,314.09
7.1562,313.49
6.6606,313.34
6.1081,314.2
5.5961,322.62
5.5123,323.89
5.2478,325.77
4.5724,324.59
4.3455,320.82
4.3475,317.76
4.5211,319.43
4.1232,318.73
4.548,319.95
4.3856,323.59
3.8264,323.09
3.1836,315.69
2.7854,307.54
3.358,292.41
3.9993,278.56
4.8717,272.66
5.1339,269.12
5.4407,267.28
6.0618,264.56
6.3531,263.12
6.4192,260.46
6.8852,258.63
7.4019,259.3
7.6274,255.12
7.8757,252.23
8.8375,246.63
9.9948,246.43
10.627,243.22
11.061,241.53
11.783,236.56
12.596,238.99
13.137,242.28
13.636,249.52
14.326,253.62
14.527,262.4
14.91,276.74
15.484,297.7
14.079,296.31
14.054,290.55
14.744,293.89
15.157,296.86
15.995,297.74
16.786,299.6
18.081,304
18.226,307.07
18.634,309.3
19.03,310.56
19.349,316.24
17.852,320.39
17.339,321.34
16.924,320.99
16.985,321.25
16.913,321.6
17.444,322.88
17.688,323.82
17.529,324.25
17.135,324.87
17.217,327.3
16.427,328.24
16.074,328.91
14.233,331.77
14.013,335.24
13.363,340.42
13.391,346.06
13.804,351.37
13.769,354.42
13.035,355.73
11.9,356.1
11.761,357.6
11.231,357.23
11.124,355.29
10.718,355.68
9.6361,1.3634
9.033,355.53
10.156,1.1444
11.53,7.4505
12.049,9.3024
11.836,10.25
11.149,10.882
10.658,10.526
10.667,11.645
10.299,14.621
9.7021,15.887
9.3834,15.36
9.4109,19.215
8.5682,19.56
7.8673,22.912
7.0955,23.742
6.7251,22.754
6.1272,22.466
5.6305,20.094
5.0936,19.496
4.5254,11.7
4.1614,7.0863
3.5597,8.765
2.7987,2.9775
1.8981,9.9424
1.0522,315.62
1.9874,290.65
2.3631,281.67
3.1567,273.13
3.7819,263.02
4.2046,254.14
4.6218,252.94
4.8515,252.88
5.2636,249.34
5.6819,245.76
6.0721,246.84
6.3475,258.32
6.2659,260.38
5.6853,270.61
4.9653,303.17
5.6403,339.82
6.7381,352.76
7.2596,350.42
7.9014,340.34
8.2937,335.32
8.1822,328.88
8.3366,322.28
8.8432,320.23
9.4803,326.84
9.5329,328.06
9.4769,327.35
9.8228,328.71
10.061,331
10.065,330.09
10.418,326.29
10.653,323.18
10.488,319.6
10.301,317.16
9.9786,315.48
9.3329,314.05
9.0211,315.4
8.6805,308.73
8.741,300.83
8.7724,292.56
8.5828,281.9
8.7366,269.26
9.7493,265.89
9.7561,262.54
10.156,260.32
11.059,261.53
11.739,261.47
12.354,261.16
12.465,267.96
12.739,273.58
13.268,285.48
13.268,293.36
12.721,297.27
12.384,295.87
12.144,291.83
12.185,293.84
11.844,294.23
11.722,295.66
11.472,294.67
11.367,290.57
10.972,295.1
9.6607,288.98
9.7936,282.28
8.9969,278.43
9.3259,280.51
8.8732,269.37
10.058,262.08
12.548,274.2
13.463,285.13
13.862,284.9
14.253,284.38
13.814,283.83
13.76,287.97
13.46,286.47
13.684,283.7
14.348,282.99
15.419,290.68
16.31,292.29
16.509,295.58
16.065,302.35
15.76,309.92
14.946,310.07
14.571,310.34
14.485,312.39
14.167,319.23
13.986,318.39
13.806,316.98
13.289,317.23
12.265,318.49
10.645,325.07
8.8741,334.56
8.3867,337.25
8.499,337.64
10.275,337.8
11.075,340.12
10.67,337.75
11.147,334.13
11.585,328.92
12.199,328
11.652,330.91
10.901,329.36
10.389,326.74
9.927,323.62
9.6208,319.66
9.6222,322.06
8.6654,321.91
7.6166,316.39
7.2403,304.97
6.4816,291.55
7.1779,278.04
8.0754,270.33
8.2924,264.8
8.514,251.62
9.5382,246.97
9.6503,261.04
9.661,266.25
10.156,262.78
10.777,258.74
11.102,255.85
11.219,254.83
11.67,257.68
11.851,259.95
11.724,261.63
11.652,263.42
11.661,262.26
11.512,261.37
11.396,259.29
11.202,257.54
11.158,254.57
11.127,251.1
11.256,248.18
11.261,246.86
11.121,245.86
11.336,246.6
11.622,246.53
12,245.74
12.097,243.88
11.803,238.19
12.207,235.83
12.468,233.22
12.391,231.92
12.606,229.26
13.002,225.75
13.278,222.81
12.048,218.29
12.327,213.64
12.273,210.23
11.945,209.23
11.786,208.86
12.347,209.53
12.581,209.79
13.316,210.88
13.658,212.25
13.671,213.99
13.939,219.73
11.772,237.46
8.8944,278.53
7.8626,277.94
8.9908,263.13
10.528,258.96
11.158,256.38
11.204,255.11
10.707,256.5
