x y
500968.1461 5716452.78395
499748.656451 5717635.84752
501245.774403 5718427.21986
500026.284754 5719610.28343
498527.828614 5718809.39417
497308.338965 5719992.45774
501523.402707 5720401.65577
500303.913058 5721584.71934
498805.456918 5720783.83008
497585.967269 5721966.89364
496087.511128 5721166.00438
494868.021479 5722349.06795
501801.03101 5722376.09168
500581.541361 5723559.15524
499083.085221 5722758.26598
497863.595572 5723941.32955
496365.139432 5723140.44029
495145.649783 5724323.50386
493647.193643 5723522.6146
492427.703994 5724705.67817
502078.659313 5724350.52758
500859.169664 5725533.59115
499360.713524 5724732.70189
498141.223875 5725915.76546
496642.767735 5725114.8762
495423.278086 5726297.93977
493924.821946 5725497.05051
492705.332297 5726680.11408
491206.876157 5725879.22482
489987.386508 5727062.28839
502356.287617 5726324.96349
501136.797968 5727508.02706
499638.341828 5726707.1378
498418.852179 5727890.20137
496920.396038 5727089.31211
495700.90639 5728272.37568
494202.450249 5727471.48642
492982.9606 5728654.54999
491484.50446 5727853.66073
490265.014811 5729036.7243
488766.558671 5728235.83504
487547.069022 5729418.8986
502633.91592 5728299.3994
501414.426271 5729482.46297
499915.970131 5728681.57371
498696.480482 5729864.63728
497198.024342 5729063.74802
495978.534693 5730246.81159
494480.078553 5729445.92233
493260.588904 5730628.9859
491762.132764 5729828.09664
490542.643115 5731011.1602
489044.186974 5730210.27094
487824.697325 5731393.33451
486326.241185 5730592.44525
485106.751536 5731775.50882
497475.652645 5731038.18393
496256.162996 5732221.2475
494757.706856 5731420.35824
493538.217207 5732603.4218
492039.761067 5731802.53254
490820.271418 5732985.59611
489321.815278 5732184.70685
488102.325629 5733367.77042
486603.869489 5732566.88116
497753.280949 5733012.61984
496533.7913 5734195.6834
495035.335159 5733394.79414
493815.845511 5734577.85771
492317.38937 5733776.96845
489599.443581 5734159.14276
498030.909252 5734987.05574
496811.419603 5736170.11931
495312.963463 5735369.23005
