wind_speed,wind_direction
12.261,214.24
12.428,215.62
12.672,216.37
12.511,214.34
12.638,215.34
12.77,214.19
12.741,214.06
12.507,214.87
13.117,214.43
12.725,214.04
13.229,213.34
13.194,213.1
13.212,211.93
13.417,210.86
13.466,212.34
13.736,213.48
13.06,215.67
12.728,218.03
13.001,219.44
12.909,221.19
12.604,223.11
12.691,224.62
12.417,224.99
12.232,226.36
12.057,225.59
12.296,224.49
12.102,224.55
11.948,221.84
12.048,220.33
12.658,217.85
12.614,215.39
13.298,215
13.627,212.87
13.751,211.81
14.023,210.92
14.732,210.75
14.342,211.14
14.556,211.6
14.92,211.64
14.916,211.9
14.951,211.45
14.992,212.27
14.744,210.58
15.022,210.94
14.961,212.05
14.016,210.54
14.245,210.84
14.623,210.51
14.305,211.27
14.236,211.51
14.357,210.17
14.685,210.24
14.546,211.15
14.299,210.42
14.957,210.76
14.347,211.88
14.867,211.67
14.506,210.84
14.842,211.08
14.226,211.53
14.488,211.31
14.918,211.89
14.625,212.61
14.813,212.67
14.894,211.44
14.519,213.33
14.474,212.51
14.79,212.08
15.401,212.65
15.099,212.64
14.803,213.78
15.254,214.13
14.718,214.89
15.37,214.33
14.953,214.32
15.57,214.21
14.915,214.72
15.35,214.74
15.505,214.15
15.347,214.69
15.599,214.11
15.669,213.9
16.115,213.76
15.851,213.75
15.843,213.53
15.563,214.4
16.098,215.57
16.226,214.06
15.767,215.26
16.695,214.35
16.19,213.47
16.296,214.05
16.291,212.6
16.745,212.58
17.372,212.41
16.188,211.21
17.1,213.14
16.929,210.95
16.946,210.45
17.885,210.9
18.118,210.04
17.943,208.62
18.391,209.82
18.578,209.58
18.372,208.65
18.775,208.29
19.503,209.79
18.57,209.56
19.152,208.94
19.393,210.08
19.199,209.62
19.724,210.45
19.477,209.1
19.743,209.6
19.923,210.34
19.985,210.04
19.848,210.67
19.308,209.2
20.503,211.42
20.808,210.45
21.201,210.91
21.305,210.5
20.709,210.78
20.607,210.64
21.539,211.25
20.896,211.23
21.173,210.04
20.42,210.63
20.856,210.58
20.703,211.42
21.275,212.32
21.653,211.84
20.897,212.1
21.95,214.43
21.035,213.11
22.135,214.09
22.359,213.74
22.413,214.36
23.161,214.57
22.905,214.9
23.006,214.39
23.161,214.92
22.655,216.91
23.59,218.85
22.473,218.16
22.199,219.19
23.019,220.11
22.55,220.55
22.432,221.45
22.891,221.01
22.763,222.33
22.728,222.54
23.266,222.46
22.883,224.14
23.907,224.09
23.705,225.67
22.517,225.09
23.8,225.07
23.212,225.59
23.462,227.13
23.568,228.06
24.057,229.73
23.721,230.09
24.008,231.83
23.485,232.33
23.37,233.18
23.624,234.05
22.126,234.9
22.033,234.83
22.462,235.93
21.786,237.51
21.976,238.06
21.696,240.96
21.141,242.31
20.692,243.56
20.386,245.35
20.015,248.69
19.904,250.34
18.613,253.01
18.998,255.73
19.147,258.48
18.109,261.33
17.923,263.86
18.055,266.77
18.04,269.26
17.227,273.3
17.118,275.65
17.173,279.16
17.567,281.18
16.981,284.11
16.554,285.68
16.313,287.94
16.99,290.27
16.516,289.84
16.293,292.44
15.905,292.93
15.976,292.91
15.84,293.43
15.613,293.07
16.132,293.28
15.9,292.99
15.453,292.81
15.409,292.82
15.659,292.42
15.03,292.17
15.857,292.89
15.802,292.7
15.871,294.32
16.388,292.76
15.275,292.69
15.434,290.77
14.974,290.91
15.519,290.84
15.464,289.21
14.93,289.73
14.297,288.43
14.928,287.1
14.207,284.54
15.099,284.44
15.301,283.45
14.852,283.33
14.584,283.21
14.829,282.86
14.875,282.74
14.204,281.65
14.896,282.84
14.693,281.16
14.815,280.4
15.046,279.7
14.946,280.85
15.054,280.49
14.93,279.73
14.659,279.72
14.666,279.36
15.141,280.5
14.587,280.93
14.802,280.32
15.279,280.54
15.895,281.17
15.772,280.79
14.774,280.57
14.84,280.82
15.248,281.13
14.945,281.11
14.908,282.06
14.585,280.54
14.387,280.87
14.567,280.85
13.898,280.87
14.562,280.84
14.019,281.91
14.221,280.45
14.078,278.76
13.843,279.05
14.271,280.76
13.871,279.21
13.806,277.83
13.589,278.77
13.719,278.71
13.587,276.83
13.573,277.64
13.335,277.43
13.759,274.88
13.692,275.24
13.199,275.89
13.165,275.92
13.2,276.2
13.003,276.15
13.189,273.8
13.284,275.72
12.371,276.13
13.105,275.72
12.907,277.53
12.884,273.79
12.53,273.99
12.577,274.98
12.154,273.03
11.901,271.11
11.287,270.94
11.817,272.2
11.849,271.4
11.868,271.53
11.451,270.02
11.319,270.42
11.719,270.09
11.107,269.82
11.518,269.42
10.742,268.71
10.475,266.55
10.705,266.48
10.813,264.96
10.603,264.69
10.632,263.79
10.265,262.76
10.305,260.7
10.116,259.72
9.6888,258.16
10.182,257.04
10.111,254.71
9.7154,253.93
9.8612,252.65
9.6196,250.32
9.7769,247.95
9.7729,245.73
10.099,245.43
9.8382,243.63
10.249,242.42
10.469,240.19
10.308,239.99
9.9689,240.05
10.512,241.03
10.613,242.07
10.463,241.92
10.502,241.6
10.425,242.56
10.947,243.21
10.609,242.74
11.085,244.01
11.332,242.99
11.413,243.09
11.215,242.91
11.201,244.23
11.003,241.71
10.711,241.78
11.207,241.3
10.286,239.12
10.635,239.43
9.7419,236.2
9.7058,235.41
10.009,234.16
10.339,233.71
10.395,232.11
10.493,230.38
10.25,228.33
10.705,226.69
10.726,223.06
10.262,221.41
10.802,219.23
10.629,216.49
11.273,214.58
11.125,211.98
10.636,209.92
10.932,207.63
11.076,205.2
10.966,204.89
10.763,202.78
10.871,202.44
10.788,200.51
10.758,199.92
10.357,198.78
10.382,198.5
10.272,197.15
10.039,195.28
9.8716,194.35
9.6176,191.6
9.497,189.37
9.3911,189.25
9.3645,186.63
8.9694,185.7
8.8458,183.04
9.0613,182.05
8.8067,181.6
8.8778,179.26
8.3213,178.58
8.405,176.81
8.1423,175.02
7.8111,174.04
7.4198,172.82
7.2579,170.82
6.8413,169.55
6.4345,167.79
5.9324,164.52
5.4849,159.43
4.8129,158.81
4.4327,158.09
3.6026,156.66
2.5474,148.14
2.1242,134.93
1.5881,103.29
1.3339,64.636
1.6979,34.618
2.0974,16.2
2.5856,6.8045
3.4208,359.62
3.5693,353.39
4.3936,355.42
4.8783,350.02
5.8321,347.93
6.5125,347.41
6.7908,345.21
