x y
484178.55 5715990.05
485119.304665304 5715857.83555409
486060.059330609 5715725.62110818
487000.813995913 5715593.40666226
487941.568661218 5715461.19221635
488882.323326522 5715328.97777044
489823.077991827 5715196.76332453
490763.832657131 5715064.54887862
491704.587322436 5714932.3344327
492645.34198774 5714800.11998679
493586.096653045 5714667.90554088
494526.851318349 5714535.69109497
495467.605983654 5714403.47664906
496408.360648958 5714271.26220314
484310.764445912 5716930.8046653
485251.519111217 5716798.59021939
486192.273776521 5716666.37577348
487133.028441826 5716534.16132757
488073.78310713 5716401.94688166
489014.537772435 5716269.73243574
489955.292437739 5716137.51798983
490896.047103043 5716005.30354392
491836.801768348 5715873.08909801
492777.556433652 5715740.8746521
493718.311098957 5715608.66020618
494659.065764261 5715476.44576027
495599.820429566 5715344.23131436
496540.57509487 5715212.01686845
484442.978891824 5717871.55933061
485383.733557129 5717739.3448847
486324.488222433 5717607.13043879
487265.242887738 5717474.91599287
488205.997553042 5717342.70154696
489146.752218347 5717210.48710105
490087.506883651 5717078.27265514
491028.261548956 5716946.05820922
491969.01621426 5716813.84376331
492909.770879565 5716681.6293174
493850.525544869 5716549.41487149
494791.280210174 5716417.20042558
495732.034875478 5716284.98597966
496672.789540783 5716152.77153375
484575.193337736 5718812.31399591
485515.948003041 5718680.09955
486456.702668345 5718547.88510409
487397.45733365 5718415.67065818
488338.211998954 5718283.45621227
489278.966664259 5718151.24176635
490219.721329563 5718019.02732044
491160.475994868 5717886.81287453
492101.230660172 5717754.59842862
493041.985325477 5717622.3839827
493982.739990781 5717490.16953679
494923.494656086 5717357.95509088
495864.24932139 5717225.74064497
496805.003986695 5717093.52619906
484707.407783648 5719753.06866122
485648.162448953 5719620.85421531
486588.917114257 5719488.63976939
487529.671779562 5719356.42532348
488470.426444866 5719224.21087757
489411.181110171 5719091.99643166
490351.935775475 5718959.78198575
491292.69044078 5718827.56753983
492233.445106084 5718695.35309392
493174.199771389 5718563.13864801
494114.954436693 5718430.9242021
495055.709101998 5718298.70975619
495996.463767302 5718166.49531027
496937.218432607 5718034.28086436
484839.62222956 5720693.82332652
485780.376894865 5720561.60888061
486721.131560169 5720429.3944347
487661.886225474 5720297.17998879
488602.640890778 5720164.96554287
489543.395556083 5720032.75109696
490484.150221387 5719900.53665105
491424.904886692 5719768.32220514
492365.659551996 5719636.10775923
493306.414217301 5719503.89331331
494247.168882605 5719371.6788674
495187.92354791 5719239.46442149
496128.678213214 5719107.24997558
497069.432878519 5718975.03552967
484971.836675472 5721634.57799183
485912.591340777 5721502.36354592
486853.346006081 5721370.1491
487794.100671386 5721237.93465409
488734.85533669 5721105.72020818
489675.610001995 5720973.50576227
490616.364667299 5720841.29131635
491557.119332604 5720709.07687044
492497.873997908 5720576.86242453
493438.628663213 5720444.64797862
494379.383328517 5720312.43353271
495320.137993822 5720180.21908679
496260.892659126 5720048.00464088
497201.647324431 5719915.79019497
485104.051121384 5722575.33265713
486044.805786689 5722443.11821122
486985.560451993 5722310.90376531
487926.315117298 5722178.6893194
488867.069782602 5722046.47487348
489807.824447907 5721914.26042757
490748.579113211 5721782.04598166
491689.333778516 5721649.83153575
492630.08844382 5721517.61708983
493570.843109125 5721385.40264392
494511.597774429 5721253.18819801
495452.352439734 5721120.9737521
496393.107105038 5720988.75930619
497333.861770343 5720856.54486027
485236.265567296 5723516.08732244
486177.020232601 5723383.87287652
487117.774897905 5723251.65843061
488058.52956321 5723119.4439847
488999.284228514 5722987.22953879
489940.038893819 5722855.01509288
490880.793559123 5722722.80064696
491821.548224428 5722590.58620105
492762.302889732 5722458.37175514
493703.057555037 5722326.15730923
494643.812220341 5722193.94286332
495584.566885646 5722061.7284174
496525.32155095 5721929.51397149
497466.076216255 5721797.29952558
485368.480013209 5724456.84198774
486309.234678513 5724324.62754183
487249.989343818 5724192.41309592
488190.744009122 5724060.19865
489131.498674427 5723927.98420409
490072.253339731 5723795.76975818
491013.008005036 5723663.55531227
491953.76267034 5723531.34086636
492894.517335644 5723399.12642044
493835.272000949 5723266.91197453
494776.026666253 5723134.69752862
495716.781331558 5723002.48308271
496657.535996862 5722870.2686368
497598.290662167 5722738.05419088
485500.694459121 5725397.59665305
486441.449124425 5725265.38220713
487382.20378973 5725133.16776122
488322.958455034 5725000.95331531
489263.713120339 5724868.7388694
490204.467785643 5724736.52442348
491145.222450948 5724604.30997757
492085.977116252 5724472.09553166
493026.731781557 5724339.88108575
493967.486446861 5724207.66663984
494908.241112166 5724075.45219392
495848.99577747 5723943.23774801
496789.750442775 5723811.0233021
497730.505108079 5723678.80885619
485632.908905033 5726338.35131835
486573.663570337 5726206.13687244
487514.418235642 5726073.92242653
488455.172900946 5725941.70798061
489395.927566251 5725809.4935347
490336.682231555 5725677.27908879
491277.43689686 5725545.06464288
492218.191562164 5725412.85019697
493158.946227469 5725280.63575105
494099.700892773 5725148.42130514
495040.455558078 5725016.20685923
495981.210223382 5724883.99241332
496921.964888687 5724751.7779674
497862.719553991 5724619.56352149
485765.123350945 5727279.10598365
486705.878016249 5727146.89153774
487646.632681554 5727014.67709183
488587.387346858 5726882.46264592
489528.142012163 5726750.24820001
490468.896677467 5726618.03375409
491409.651342772 5726485.81930818
492350.406008076 5726353.60486227
493291.160673381 5726221.39041636
494231.915338685 5726089.17597045
495172.67000399 5725956.96152453
496113.424669294 5725824.74707862
497054.179334599 5725692.53263271
497994.933999903 5725560.3181868
485897.337796857 5728219.86064896
486838.092462161 5728087.64620305
487778.847127466 5727955.43175713
488719.60179277 5727823.21731122
489660.356458075 5727691.00286531
490601.111123379 5727558.7884194
491541.865788684 5727426.57397349
492482.620453988 5727294.35952757
493423.375119293 5727162.14508166
494364.129784597 5727029.93063575
495304.884449902 5726897.71618984
