x y
484178.55 5715990.05
485366.87168249 5715823.04227885
486555.19336498 5715656.0345577
487743.51504747 5715489.02683654
488931.83672996 5715322.01911539
490120.158412449 5715155.01139424
491308.480094939 5714988.00367309
484345.557721152 5717178.37168249
485533.879403642 5717011.36396134
486722.201086132 5716844.35624019
487910.522768622 5716677.34851903
489098.844451112 5716510.34079788
490287.166133602 5716343.33307673
491475.487816091 5716176.32535558
484512.565442304 5718366.69336498
485700.887124794 5718199.68564383
486889.208807284 5718032.67792268
488077.530489774 5717865.67020152
489265.852172264 5717698.66248037
490454.173854754 5717531.65475922
491642.495537243 5717364.64703807
484679.573163456 5719555.01504747
485867.894845946 5719388.00732632
487056.216528436 5719220.99960516
488244.538210926 5719053.99188401
489432.859893416 5718886.98416286
490621.181575906 5718719.97644171
491809.503258396 5718552.96872056
484846.580884608 5720743.33672996
486034.902567098 5720576.32900881
487223.224249588 5720409.32128766
488411.545932078 5720242.3135665
489599.867614568 5720075.30584535
490788.189297058 5719908.2981242
491976.510979548 5719741.29040305
485013.58860576 5721931.65841245
486201.91028825 5721764.6506913
487390.23197074 5721597.64297014
488578.55365323 5721430.63524899
489766.87533572 5721263.62752784
490955.19701821 5721096.61980669
492143.5187007 5720929.61208554
485180.596326912 5723119.98009494
486368.918009402 5722952.97237379
