wind_speed,wind_direction
9.1278,277.67
9.7506,280.78
9.9553,283.53
10.126,283.29
10.687,282.66
11.072,283.07
10.985,283.31
10.955,284.44
11.053,289.68
10.85,294.27
10.861,306.65
11.178,311.55
11.736,317.69
11.622,326.66
10.754,339.72
10.351,348.66
11.132,353.37
11.771,349.15
12.66,342.26
13.863,343.33
14.251,349.81
13.71,355.67
13.104,359.72
12.811,1.7261
12.727,358.91
12.995,358.52
12.785,358.28
13.019,355.64
13.269,354.79
13.363,356.98
13.155,357.31
12.851,357.92
12.708,359.98
12.585,2.991
11.933,4.6424
11.579,7.5724
11.297,11.041
10.283,11.49
9.8279,10.899
9.6484,11
9.3568,12.143
9.0813,11.224
8.8264,10.567
8.6319,9.7983
8.4155,7.226
8.2718,8.2919
8.2437,4.7443
8.2273,5.0869
8.0267,4.5457
7.8254,2.5645
7.7251,359.57
7.3378,357.47
7.0804,356.51
6.9321,357.91
7.0915,356.4
7.3564,0.30361
7.4474,1.0996
7.2215,2.553
6.5305,7.3146
6.6886,12.432
6.4159,14.094
6.3279,12.157
6.8212,11.323
7.1669,12.434
7.5603,13.815
8.145,15.196
7.9256,16.22
7.0438,14.811
7.2692,17.961
7.6681,15.94
7.2959,13.592
6.5372,13.66
5.9611,10.248
5.5473,357.78
5.4968,346.52
5.936,337.3
6.8547,332.7
7.4897,328.52
7.9226,323.11
7.8283,321.23
7.3362,315.84
6.9966,309.15
8.1219,311.32
7.6405,319.88
7.3447,316.52
7.6407,318.6
7.9549,325.14
7.6436,322.57
8.0061,323.86
8.4254,328.58
8.513,333.47
8.3083,333.31
8.8351,324.75
9.8567,323.24
9.6492,332.48
9.7487,334.04
10.261,337.08
10.261,338.44
10.064,339.89
9.9255,339.27
10.446,332.15
10.791,328.37
11.156,327
10.86,327.8
10.027,326.78
9.4348,323.37
10.051,326.09
9.7596,331.06
9.6097,330.3
9.4177,328.73
9.1224,327.21
8.8684,326.06
8.7637,325.49
8.644,323.72
8.6779,323.19
8.4874,324.73
8.118,326.64
8.0987,325.42
8.2252,325.71
8.477,324.88
8.4934,325.22
8.398,325.38
8.3679,323.43
7.6981,324.13
6.8888,325.36
6.8693,322.26
7.586,320.33
7.5194,323.77
7.0004,329.72
6.4017,332.76
6.4054,324.31
5.8937,325.98
5.5364,327.88
5.7364,329.8
5.5225,336.25
5.4153,341.12
5.5884,344.19
5.7454,344.86
6.3601,347.85
6.2036,352.67
5.7468,354.43
5.5768,355.01
5.6429,346.61
5.1931,342.49
4.6404,337.75
4.2946,328.14
3.9777,315.65
4.402,301.85
5.1421,291.55
5.9701,285.3
6.7924,279.93
7.0676,271.98
7.0927,260.49
7.8482,248.85
9.0088,248.86
10.261,244.49
11.506,247.34
13.029,251.79
13.483,253.54
13.715,252.6
13.716,251.26
14.099,250.3
15.041,250.37
15.014,257.7
15.39,262.12
15.673,268.65
14.929,285.73
14.393,299.34
13.929,302.54
14.444,299.67
14.54,297.35
14.693,297.62
14.947,299.32
15.031,300.63
15.241,302.12
15.299,305.38
15.792,310.9
15.897,313.87
15.069,313.73
15.533,317.18
15.955,318.91
16.864,322.25
18.061,327.64
18.075,327.85
18.223,329.38
18.042,331.48
17.486,332.76
17.462,334.69
17.343,336.93
17.304,335.72
17.36,342.18
16.49,339.88
17.643,337.99
17.579,339.14
17.631,343.06
17.852,347.91
18.184,351.33
17.05,350.74
16.525,352.75
15.997,353.88
15.865,355.71
15.941,358.45
15.049,8.584
14.288,8.5238
14.431,6.9774
13.98,7.8743
13.988,12.166
13.702,16.861
13.487,20.312
13.115,19.486
12.984,18.127
12.977,20.124
12.757,20.353
12.397,19.526
11.611,21.293
11.334,23.078
10.709,24.955
9.9239,27.364
8.8535,28.856
8.5126,26.633
7.7263,25.585
7.1675,25.894
6.8394,23.885
6.5814,16.298
7.0099,12.025
7.323,11.641
5.1858,13.721
4.3225,19.429
4.0639,5.8709
4.179,358.28
4.4472,352.84
4.8729,353.71
5.2437,346.74
6.0002,337
6.4056,336.02
5.6956,333.7
4.9747,323.7
5.4719,311.25
6.1872,302.13
5.8114,301.38
6.0687,303.99
6.8746,315.96
7.9609,333.16
9.1374,346.6
9.8406,353.49
9.7604,354.72
9.6795,353.79
9.4454,353.97
8.8747,353.11
8.2201,346.69
8.6275,344.24
9.8104,338.94
10.748,336.85
11.013,335.05
10.982,332.87
11.133,332.53
11.212,330.34
11.001,327.16
10.41,323.65
9.9207,318.76
9.2251,311.8
8.7444,303.44
8.8564,300.27
8.3039,295.18
8.2511,290.07
8.6246,282.46
8.9989,274.58
9.9284,271.55
11.258,275.71
11.234,269.7
12.087,266.29
13.116,266.2
13.702,266.09
14.333,271.15
15.295,274.38
14.778,273.73
13.994,271.28
14.984,275.98
14.859,279.41
14.069,285.31
14.002,286.27
13.59,284.91
13.564,285.7
13.087,287.93
12.574,286.97
12.638,280.3
11.679,275.56
12.953,273.15
13.11,280.4
13.173,281.98
13.923,289.61
13.559,290.89
14.089,286.41
14.915,285.49
14.622,283.28
15.283,284.14
14.586,285.2
14.233,284.17
14.693,286.91
14.504,283.55
14.916,280.55
15.733,279.09
16.035,283.43
15.8,288.15
15.958,287.59
15.315,287.39
15.941,290.11
16.852,298.19
17.41,306.1
17.514,310.21
16.29,312.08
16.36,310.3
15.821,311.27
15.92,313.82
14.714,315.92
13.75,314.9
12.8,313.73
12.867,311.03
13.378,310.75
13.143,313.99
12.885,321.33
12.196,326.73
11.487,334.79
10.478,335.79
9.2653,331.73
9.0195,327.13
8.7541,326.17
8.5262,330.53
8.1673,336.04
7.5994,333.13
6.9809,324.29
6.4628,317.81
6.185,311.72
5.6534,305.67
5.7437,282.77
6.8546,272.59
8.696,275.88
10.054,283.29
10.146,283.46
9.4798,277.39
9.1657,269.54
9.2412,261.95
9.7427,258.74
10.247,257.04
10.67,255.75
11.159,255.64
11.691,258.69
11.664,259.96
