x y
484178.55 5737534.4
485551.061543276 5737341.50608207
486923.573086552 5737148.61216414
488296.084629827 5736955.71824621
489668.596173103 5736762.82432828
491041.107716379 5736569.93041035
492413.619259655 5736377.03649242
493786.130802931 5736184.14257449
495158.642346207 5735991.24865656
496531.153889482 5735798.35473862
483902.987260099 5735573.66922389
485275.498803375 5735380.77530596
486648.010346651 5735187.88138803
488020.521889927 5734994.9874701
489393.033433202 5734802.09355217
490765.544976478 5734609.19963424
492138.056519754 5734416.30571631
493510.56806303 5734223.41179838
494883.079606306 5734030.51788045
496255.591149581 5733837.62396252
483627.424520198 5733612.93844778
484999.936063474 5733420.04452985
486372.44760675 5733227.15061192
487744.959150026 5733034.25669399
489117.470693301 5732841.36277606
490489.982236577 5732648.46885813
491862.493779853 5732455.5749402
493235.005323129 5732262.68102227
494607.516866405 5732069.78710434
495980.02840968 5731876.89318641
483351.861780297 5731652.20767168
484724.373323573 5731459.31375374
486096.884866849 5731266.41983581
487469.396410125 5731073.52591788
488841.9079534 5730880.63199995
490214.419496676 5730687.73808202
491586.931039952 5730494.84416409
492959.442583228 5730301.95024616
494331.954126504 5730109.05632823
495704.46566978 5729916.1624103
483076.299040396 5729691.47689557
484448.810583672 5729498.58297764
485821.322126948 5729305.68905971
487193.833670224 5729112.79514178
488566.3452135 5728919.90122384
489938.856756775 5728727.00730591
491311.368300051 5728534.11338798
492683.879843327 5728341.21947005
494056.391386603 5728148.32555212
495428.902929879 5727955.43163419
482800.736300495 5727730.74611946
484173.247843771 5727537.85220153
485545.759387047 5727344.9582836
486918.270930323 5727152.06436567
488290.782473599 5726959.17044774
489663.294016874 5726766.27652981
491035.80556015 5726573.38261187
492408.317103426 5726380.48869394
493780.828646702 5726187.59477601
495153.340189978 5725994.70085808
482525.173560594 5725770.01534335
483897.68510387 5725577.12142542
485270.196647146 5725384.22750749
486642.708190422 5725191.33358956
488015.219733698 5724998.43967163
489387.731276973 5724805.5457537
490760.242820249 5724612.65183577
492132.754363525 5724419.75791784
493505.265906801 5724226.86399991
494877.777450077 5724033.97008197
482249.610820693 5723809.28456724
483622.122363969 5723616.39064931
484994.633907245 5723423.49673138
486367.145450521 5723230.60281345
487739.656993797 5723037.70889552
489112.168537073 5722844.81497759
490484.680080348 5722651.92105966
491857.191623624 5722459.02714173
493229.7031669 5722266.1332238
494602.214710176 5722073.23930587
481974.048080793 5721848.55379113
483346.559624068 5721655.6598732
484719.071167344 5721462.76595527
486091.58271062 5721269.87203734
487464.094253896 5721076.97811941
488836.605797172 5720884.08420148
490209.117340447 5720691.19028355
491581.628883723 5720498.29636562
492954.140426999 5720305.40244769
494326.651970275 5720112.50852976
481698.485340892 5719887.82301503
483070.996884167 5719694.92909709
484443.508427443 5719502.03517916
485816.019970719 5719309.14126123
487188.531513995 5719116.2473433
488561.043057271 5718923.35342537
489933.554600547 5718730.45950744
491306.066143822 5718537.56558951
492678.577687098 5718344.67167158
494051.089230374 5718151.77775365
