x y
484178.55 5737534.4
485129.207345992 5737400.79382308
486079.864691984 5737267.18764616
487030.522037976 5737133.58146924
487981.179383968 5736999.97529231
488931.83672996 5736866.36911539
489882.494075951 5736732.76293847
490833.151421943 5736599.15676155
491783.808767935 5736465.55058463
492734.466113927 5736331.94440771
484044.943823078 5736583.74265401
484995.60116907 5736450.13647709
485946.258515062 5736316.53030017
486896.915861054 5736182.92412324
487847.573207046 5736049.31794632
488798.230553038 5735915.7117694
489748.88789903 5735782.10559248
490699.545245022 5735648.49941556
491650.202591014 5735514.89323863
492600.859937006 5735381.28706171
483911.337646157 5735633.08530802
484861.994992149 5735499.4791311
485812.65233814 5735365.87295417
486763.309684132 5735232.26677725
487713.967030124 5735098.66060033
488664.624376116 5734965.05442341
489615.281722108 5734831.44824649
490565.9390681 5734697.84206957
491516.596414092 5734564.23589264
492467.253760084 5734430.62971572
483777.731469235 5734682.42796202
484728.388815227 5734548.8217851
485679.046161219 5734415.21560818
486629.703507211 5734281.60943126
487580.360853203 5734148.00325434
488531.018199195 5734014.39707742
489481.675545186 5733880.79090049
490432.332891178 5733747.18472357
491382.99023717 5733613.57854665
492333.647583162 5733479.97236973
483644.125292313 5733731.77061603
484594.782638305 5733598.16443911
485545.439984297 5733464.55826219
486496.097330289 5733330.95208527
487446.754676281 5733197.34590835
488397.412022273 5733063.73973142
489348.069368265 5732930.1335545
490298.726714257 5732796.52737758
491249.384060249 5732662.92120066
492200.04140624 5732529.31502374
483510.519115392 5732781.11327004
484461.176461384 5732647.50709312
485411.833807376 5732513.9009162
486362.491153367 5732380.29473928
487313.148499359 5732246.68856235
488263.805845351 5732113.08238543
489214.463191343 5731979.47620851
490165.120537335 5731845.87003159
491115.777883327 5731712.26385467
492066.435229319 5731578.65767775
483376.91293847 5731830.45592405
484327.570284462 5731696.84974713
485278.227630454 5731563.24357021
486228.884976446 5731429.63739328
487179.542322438 5731296.03121636
488130.19966843 5731162.42503944
489080.857014421 5731028.81886252
490031.514360413 5730895.2126856
490982.171706405 5730761.60650868
491932.829052397 5730628.00033175
483243.306761548 5730879.79857806
484193.96410754 5730746.19240114
485144.621453532 5730612.58622421
486095.278799524 5730478.98004729
487045.936145516 5730345.37387037
487996.593491508 5730211.76769345
488947.2508375 5730078.16151653
489897.908183492 5729944.55533961
490848.565529484 5729810.94916268
491799.222875476 5729677.34298576
483109.700584627 5729929.14123206
484060.357930619 5729795.53505514
485011.015276611 5729661.92887822
485961.672622602 5729528.3227013
486912.329968594 5729394.71652438
487862.987314586 5729261.11034746
488813.644660578 5729127.50417054
489764.30200657 5728993.89799361
490714.959352562 5728860.29181669
491665.616698554 5728726.68563977
482976.094407705 5728978.48388607
483926.751753697 5728844.87770915
484877.409099689 5728711.27153223
485828.066445681 5728577.66535531
486778.723791673 5728444.05917839
487729.381137665 5728310.45300146
488680.038483656 5728176.84682454
489630.695829648 5728043.24064762
490581.35317564 5727909.6344707
491532.010521632 5727776.02829378
