x y
484178.55 5737534.4
486507.66049768 5737207.06486654
488836.77099536 5736879.72973308
491165.881493041 5736552.39459963
493494.991990721 5736225.05946617
495824.102488401 5735897.72433271
498153.212986081 5735570.38919925
500482.323483761 5735243.05406579
502811.433981441 5734915.71893234
505140.544479122 5734588.38379888
483851.214866542 5735205.28950232
486180.325364222 5734877.95436886
488509.435861902 5734550.6192354
490838.546359582 5734223.28410195
493167.656857263 5733895.94896849
495496.767354943 5733568.61383503
497825.877852623 5733241.27870157
500154.988350303 5732913.94356811
502484.098847983 5732586.60843466
504813.209345663 5732259.2733012
483523.879733084 5732876.17900464
485852.990230764 5732548.84387118
488182.100728444 5732221.50873772
490511.211226124 5731894.17360427
492840.321723805 5731566.83847081
495169.432221485 5731239.50333735
497498.542719165 5730912.16820389
499827.653216845 5730584.83307043
502156.763714525 5730257.49793698
504485.874212205 5729930.16280352
483196.544599626 5730547.06850696
485525.655097306 5730219.7333735
487854.765594986 5729892.39824004
490183.876092666 5729565.06310659
492512.986590346 5729237.72797313
494842.097088027 5728910.39283967
497171.207585707 5728583.05770621
499500.318083387 5728255.72257275
501829.428581067 5727928.3874393
504158.539078747 5727601.05230584
