r,mu,thickness,chord,twist,mass,flap_inertia,edge_inertia,flap_stiffness,edge_stiffness
0,0,4.2899,4.6,12,2371.9,31627,2411.2,1.199e+11,1.1991e+11
3.3362,0.034481,4.2899,4.6029,12,1286.7,31627,2411.2,6.1483e+10,4.6803e+10
6.6729,0.068967,4.2003,4.7223,11.997,1210,22815,1895.4,4.8115e+10,3.9491e+10
10.009,0.10345,3.5633,5.0081,12.022,1090.2,8793,1290.7,3.6976e+10,3.5505e+10
13.346,0.13793,2.9078,5.4115,11.569,970.73,3132.9,884.17,2.5545e+10,3.3395e+10
16.682,0.17242,2.6714,5.8008,10.039,853.37,1865.3,668.03,1.4897e+10,3.1549e+10
20.018,0.2069,2.2197,6.0157,8.0766,758.95,733.81,431.22,9.8528e+09,2.8926e+10
23.354,0.24138,1.8721,5.9822,6.5836,671.1,292.6,309.14,7.8225e+09,2.4019e+10
26.691,0.27586,1.6571,5.8272,5.6612,610.2,67.413,235.04,6.4961e+09,1.992e+10
30.027,0.31035,1.5705,5.6087,5.0103,557.58,46.777,211,5.3565e+09,1.6089e+10
33.364,0.34483,1.4215,5.3456,4.4471,518.25,34.423,178.14,4.4254e+09,1.3109e+10
36.7,0.37931,1.2945,5.053,3.9305,488.1,26.436,149.98,3.6431e+09,1.0764e+10
40.037,0.41379,1.2354,4.7458,3.4404,458.88,22.892,137.11,2.9458e+09,8.6921e+09
43.374,0.44828,1.1249,4.4345,2.9377,431.56,16.713,111.84,2.3343e+09,6.9531e+09
46.71,0.48276,1.0252,4.1255,2.3907,412.9,11.546,89.941,1.8181e+09,5.4465e+09
50.046,0.51725,0.9789,3.8224,1.8,386.37,9.4063,79.892,1.3711e+09,4.3002e+09
53.382,0.55173,0.89159,3.5298,1.1819,358.93,6.0623,63,9.6496e+08,3.345e+09
56.719,0.58621,0.81149,3.2523,0.55075,332.86,3.8421,50.052,6.7018e+08,2.604e+09
60.055,0.62069,0.73736,2.9917,-0.076887,307.91,2.498,40.764,4.5514e+08,2.024e+09
63.391,0.65517,0.70277,2.7484,-0.68699,282.58,2.0616,37.106,3.1206e+08,1.5596e+09
66.728,0.68966,0.63933,2.5239,-1.2628,259.11,1.4431,31.056,2.2823e+08,1.1993e+09
70.065,0.72414,0.583,2.3175,-1.7924,233.86,1.0076,25.339,1.6606e+08,9.1841e+08
73.401,0.75862,0.5338,2.1281,-2.2625,208.66,0.66207,19.186,1.1866e+08,6.9975e+08
76.736,0.7931,0.49024,1.9579,-2.6478,184.11,0.40297,12.25,8.3797e+07,5.2741e+08
80.073,0.82759,0.47043,1.8026,-2.9429,159.35,0.3003,9.5298,5.8271e+07,3.91e+08
83.41,0.86207,0.43368,1.66,-3.1293,134.04,0.17524,5.8425,3.9891e+07,2.8213e+08
86.746,0.89655,0.40013,1.522,-3.1357,106.84,0.10308,3.418,2.5909e+07,1.9262e+08
90.083,0.93104,0.36465,1.3427,-2.8633,74.488,0.059731,1.9806,1.4189e+07,1.1277e+08
93.419,0.96552,0.32175,1.0506,-2.046,41.63,0.027125,0.89941,4.4792e+06,4.4381e+07
96.755,1,0.087038,0.0962,-0.037242,2.3788,0.0005032,0.016685,728.5,24646
