Wind forecast,Load forecast,Hour contribution,Month contribution
2273.8,12391,-6.685,11.907
2375.8,11810,-7.2162,11.907
2514,11411,-7.554,11.907
2648.3,11309,-8.1784,11.907
2711.5,11420,-8.5721,11.907
2770.5,11881,-7.8377,11.907
2783,13032,-3.9861,11.907
2717.3,14995,-0.75799,11.907
2602,16635,0.24353,11.907
2483.8,17155,-0.6933,11.907
2477.3,17063,-2.2254,11.907
2628,16930,-3.3214,11.907
2866.8,16716,-4.5531,11.907
3108.3,15521,-5.8897,11.907
3315.3,16830,-6.4964,11.907
3472.5,17128,-6.5532,11.907
3539.3,17374,-6.0053,11.907
3609.5,17958,-3.1522,11.907
3667.3,16992,0,11.907
3688.8,16289,1.6543,11.907
3686.3,15656,0.2304,11.907
3673.8,14886,-2.3736,11.907
3653,14031,-3.3265,11.907
3644.8,13121,-5.7591,11.907
3558,12514,-6.685,11.907
3548.8,12033,-7.2162,11.907
3544.8,11642,-7.554,11.907
3527.8,11547,-8.1784,11.907
3484.8,11588,-8.5721,11.907
3410.3,11986,-7.8377,11.907
3262.8,13315,-3.9861,11.907
3050.3,15301,-0.75799,11.907
2777.3,16937,0.24353,11.907
2485.3,17503,-0.6933,11.907
2267.3,17726,-2.2254,11.907
2109.8,17715,-3.3214,11.907
1990.8,17572,-4.5531,11.907
1843.5,17589,-5.8897,11.907
1645.8,17677,-6.4964,11.907
1514,17779,-6.5532,11.907
1430.3,18002,-6.0053,11.907
1359.5,18542,-3.1522,11.907
1269.5,17427,0,11.907
1195.5,16671,1.6543,11.907
1162.8,15999,0.2304,11.907
1136,15256,-2.3736,11.907
1123.5,14272,-3.3265,11.907
1065.8,13390,-5.7591,11.907
904,12757,-6.685,11.907
852.25,12312,-7.2162,11.907
825.25,11850,-7.554,11.907
833.5,11675,-8.1784,11.907
830.25,11761,-8.5721,11.907
779,12204,-7.8377,11.907
752.25,13577,-3.9861,11.907
792.25,15828,-0.75799,11.907
816.5,17708,0.24353,11.907
769.75,18335,-0.6933,11.907
709.25,18312,-2.2254,11.907
651.5,18107,-3.3214,11.907
604.5,17766,-4.5531,11.907
575,17759,-5.8897,11.907
555.25,17971,-6.4964,11.907
556.5,18198,-6.5532,11.907
621,18641,-6.0053,11.907
651.5,19171,-3.1522,11.907
644,18047,0,11.907
628.25,17279,1.6543,11.907
602,16566,0.2304,11.907
586.5,15641,-2.3736,11.907
564.5,14368,-3.3265,11.907
518.25,13432,-5.7591,11.907
439.25,12781,-6.685,11.907
612.5,12240,-7.2162,11.907
820.5,11913,-7.554,11.907
1132.8,11751,-8.1784,11.907
1347.5,11783,-8.5721,11.907
1406.5,12323,-7.8377,11.907
1474.8,13674,-3.9861,11.907
1496,15872,-0.75799,11.907
1550.8,17886,0.24353,11.907
1605.8,18253,-0.6933,11.907
1657.3,18847,-2.2254,11.907
1732,18555,-3.3214,11.907
1845.8,18163,-4.5531,11.907
1985.8,17989,-5.8897,11.907
2145,17843,-6.4964,11.907
2231.5,17730,-6.5532,11.907
2139.8,17906,-6.0053,11.907
2021.8,18272,-3.1522,11.907
1967.5,17216,0,11.907
1982.3,16472,1.6543,11.907
1984.8,15785,0.2304,11.907
2032,14962,-2.3736,11.907
2123.8,14080,-3.3265,11.907
2270.8,13295,-5.7591,11.907
2587.5,12581,-6.685,11.907
2782.8,12081,-7.2162,11.907
2933.5,11608,-7.554,11.907
3109.8,11329,-8.1784,11.907
3207,11235,-8.5721,11.907
3257,11423,-7.8377,11.907
3263.8,11868,-3.9861,11.907
3200.3,12850,-0.75799,11.907
3071,14051,0.24353,11.907
2952,14852,-0.6933,11.907
2910.8,15264,-2.2254,11.907
2919.8,15191,-3.3214,11.907
2869.8,14822,-4.5531,11.907
2720.5,14360,-5.8897,11.907
2603.3,14341,-6.4964,11.907
2534.3,14432,-6.5532,11.907
2481.3,14768,-6.0053,11.907
2454.3,15173,-3.1522,11.907
2434.5,14250,0,11.907
2386,13596,1.6543,11.907
2287,13043,0.2304,11.907
2155.8,12348,-2.3736,11.907
2076.3,11640,-3.3265,11.907
2027.5,11138,-5.7591,11.907
2000,10836,-6.685,11.907
1921.8,10507,-7.2162,11.907
1804.8,10173,-7.554,11.907
1654.3,10183,-8.1784,11.907
1446.3,10336,-8.5721,11.907
1232.5,10640,-7.8377,11.907
1038.3,10974,-3.9861,11.907
867.5,11625,-0.75799,11.907
709.5,12739,0.24353,11.907
591.25,13664,-0.6933,11.907
502.75,14326,-2.2254,11.907
442.5,14753,-3.3214,11.907
395.75,15130,-4.5531,11.907
354,15386,-5.8897,11.907
333,15459,-6.4964,11.907
324.5,15603,-6.5532,11.907
425.5,15855,-6.0053,11.907
573.75,16441,-3.1522,11.907
765,15789,0,11.907
988.75,15196,1.6543,11.907
1248.3,14755,0.2304,11.907
1391.5,14252,-2.3736,11.907
1310.5,13481,-3.3265,11.907
