x y
484178.55 5737534.4
485551.061543276 5737341.50608207
486923.573086552 5737148.61216414
488296.084629827 5736955.71824621
489668.596173103 5736762.82432828
491041.107716379 5736569.93041035
492413.619259655 5736377.03649242
493786.130802931 5736184.14257449
495158.642346207 5735991.24865656
496531.153889482 5735798.35473862
483985.656082069 5736161.88845672
485358.167625345 5735968.99453879
486730.679168621 5735776.10062086
488103.190711897 5735583.20670293
489475.702255173 5735390.312785
490848.213798448 5735197.41886707
492220.725341724 5735004.52494914
493593.236885 5734811.63103121
494965.748428276 5734618.73711328
496338.259971552 5734425.84319535
483792.762164139 5734789.37691345
485165.273707415 5734596.48299552
486537.78525069 5734403.58907759
487910.296793966 5734210.69515966
489282.808337242 5734017.80124173
490655.319880518 5733824.9073238
492027.831423794 5733632.01340587
493400.342967069 5733439.11948793
494772.854510345 5733246.22557
496145.366053621 5733053.33165207
483599.868246208 5733416.86537017
484972.379789484 5733223.97145224
486344.89133276 5733031.07753431
487717.402876035 5732838.18361638
489089.914419311 5732645.28969845
490462.425962587 5732452.39578052
491834.937505863 5732259.50186259
493207.449049139 5732066.60794466
494579.960592415 5731873.71402673
495952.47213569 5731680.8201088
483406.974328277 5732044.3538269
484779.485871553 5731851.45990897
486151.997414829 5731658.56599104
487524.508958105 5731465.67207311
488897.020501381 5731272.77815517
490269.532044656 5731079.88423724
491642.043587932 5730886.99031931
493014.555131208 5730694.09640138
494387.066674484 5730501.20248345
495759.57821776 5730308.30856552
483214.080410347 5730671.84228362
484586.591953623 5730478.94836569
485959.103496898 5730286.05444776
487331.615040174 5730093.16052983
488704.12658345 5729900.2666119
490076.638126726 5729707.37269397
491449.149670002 5729514.47877604
492821.661213277 5729321.58485811
494194.172756553 5729128.69094018
495566.684299829 5728935.79702225
483021.186492416 5729299.33074035
484393.698035692 5729106.43682241
485766.209578968 5728913.54290448
487138.721122244 5728720.64898655
488511.232665519 5728527.75506862
489883.744208795 5728334.86115069
491256.255752071 5728141.96723276
492628.767295347 5727949.07331483
494001.278838623 5727756.1793969
495373.790381898 5727563.28547897
482828.292574485 5727926.81919707
484200.804117761 5727733.92527914
485573.315661037 5727541.03136121
486945.827204313 5727348.13744328
488318.338747589 5727155.24352535
489690.850290865 5726962.34960742
491063.36183414 5726769.45568949
492435.873377416 5726576.56177155
493808.384920692 5726383.66785362
495180.896463968 5726190.77393569
482635.398656555 5726554.30765379
484007.910199831 5726361.41373586
485380.421743106 5726168.51981793
486752.933286382 5725975.6259
488125.444829658 5725782.73198207
489497.956372934 5725589.83806414
490870.46791621 5725396.94414621
492242.979459486 5725204.05022828
493615.491002761 5725011.15631035
494988.002546037 5724818.26239242
482442.504738624 5725181.79611052
483815.0162819 5724988.90219259
485187.527825176 5724796.00827466
486560.039368452 5724603.11435673
487932.550911727 5724410.2204388
489305.062455003 5724217.32652086
490677.573998279 5724024.43260293
492050.085541555 5723831.538685
493422.597084831 5723638.64476707
494795.108628106 5723445.75084914
