x y
484178.55 5715990.05
485526.106787944 5715800.66324421
486873.663575887 5715611.27648843
488221.220363831 5715421.88973264
489568.777151774 5715232.50297685
490916.333939718 5715043.11622107
492263.890727661 5714853.72946528
493611.447515605 5714664.34270949
494959.004303548 5714474.95595371
496306.561091492 5714285.56919792
484367.936755786 5717337.60678794
485715.49354373 5717148.22003216
487063.050331673 5716958.83327637
488410.607119617 5716769.44652058
489758.163907561 5716580.0597648
491105.720695504 5716390.67300901
492453.277483448 5716201.28625322
493800.834271391 5716011.89949744
495148.391059335 5715822.51274165
496495.947847278 5715633.12598587
484557.323511573 5718685.16357589
485904.880299516 5718495.7768201
487252.43708746 5718306.39006431
488599.993875403 5718117.00330853
489947.550663347 5717927.61655274
491295.10745129 5717738.22979695
492642.664239234 5717548.84304117
493990.221027178 5717359.45628538
495337.777815121 5717170.06952959
496685.334603065 5716980.68277381
484746.710267359 5720032.72036383
486094.267055303 5719843.33360804
487441.823843246 5719653.94685226
488789.38063119 5719464.56009647
490136.937419134 5719275.17334068
491484.494207077 5719085.7865849
492832.050995021 5718896.39982911
494179.607782964 5718707.01307333
495527.164570908 5718517.62631754
496874.721358851 5718328.23956175
484936.097023146 5721380.27715177
486283.653811089 5721190.89039599
487631.210599033 5721001.5036402
488978.767386976 5720812.11688442
490326.32417492 5720622.73012863
491673.880962864 5720433.34337284
493021.437750807 5720243.95661706
494368.99453875 5720054.56986127
495716.551326694 5719865.18310548
497064.108114638 5719675.7963497
485125.483778932 5722727.83393972
486473.040566876 5722538.44718393
487820.597354819 5722349.06042814
489168.154142763 5722159.67367236
490515.710930706 5721970.28691657
491863.26771865 5721780.90016078
493210.824506593 5721591.513405
494558.381294537 5721402.12664921
495905.938082481 5721212.73989343
497253.494870424 5721023.35313764
485314.870534719 5724075.39072766
486662.427322662 5723886.00397187
488009.984110606 5723696.61721609
489357.540898549 5723507.2304603
490705.097686493 5723317.84370452
492052.654474436 5723128.45694873
493400.21126238 5722939.07019294
494747.768050323 5722749.68343716
496095.324838267 5722560.29668137
497442.88162621 5722370.90992558
485504.257290505 5725422.9475156
486851.814078449 5725233.56075982
488199.370866392 5725044.17400403
489546.927654336 5724854.78724824
490894.484442279 5724665.40049246
492242.041230223 5724476.01373667
493589.598018166 5724286.62698089
494937.15480611 5724097.2402251
496284.711594053 5723907.85346931
497632.268381997 5723718.46671353
485693.644046292 5726770.50430355
487041.200834235 5726581.11754776
488388.757622179 5726391.73079198
489736.314410122 5726202.34403619
491083.871198066 5726012.9572804
492431.427986009 5725823.57052462
493778.984773953 5725634.18376883
495126.541561896 5725444.79701304
496474.09834984 5725255.41025726
497821.655137783 5725066.02350147
485883.030802078 5728118.06109149
487230.587590022 5727928.67433571
488578.144377965 5727739.28757992
489925.701165909 5727549.90082413
491273.257953852 5727360.51406835
492620.814741796 5727171.12731256
493968.371529739 5726981.74055677
495315.928317683 5726792.35380099
496663.485105626 5726602.9670452
498011.04189357 5726413.58028941
