x y
484178.55 5715990.05
485772.881590674 5715765.98130745
487367.213181348 5715541.91261491
488961.544772022 5715317.84392236
490555.876362696 5715093.77522982
492150.20795337 5714869.70653727
493744.539544044 5714645.63784473
495338.871134717 5714421.56915218
484402.618692546 5717584.38159067
485996.95028322 5717360.31289813
487591.281873894 5717136.24420558
489185.613464567 5716912.17551304
490779.945055241 5716688.10682049
492374.276645915 5716464.03812794
493968.608236589 5716239.9694354
495562.939827263 5716015.90074285
484626.687385091 5719178.71318135
486221.018975765 5718954.6444888
487815.350566439 5718730.57579626
489409.682157113 5718506.50710371
491004.013747787 5718282.43841117
492598.345338461 5718058.36971862
494192.676929135 5717834.30102607
495787.008519809 5717610.23233353
484850.756077637 5720773.04477202
486445.087668311 5720548.97607948
488039.419258985 5720324.90738693
489633.750849659 5720100.83869438
491228.082440333 5719876.77000184
492822.414031007 5719652.70130929
494416.745621681 5719428.63261675
485074.824770183 5722367.3763627
486669.156360857 5722143.30767015
488263.487951531 5721919.2389776
489857.819542205 5721695.17028506
491452.151132878 5721471.10159251
493046.482723552 5721247.03289997
494640.814314226 5721022.96420742
485298.893462729 5723961.70795337
486893.225053402 5723737.63926082
488487.556644076 5723513.57056828
490081.88823475 5723289.50187573
491676.219825424 5723065.43318319
493270.551416098 5722841.36449064
494864.883006772 5722617.29579809
485522.962155274 5725556.03954404
487117.293745948 5725331.9708515
488711.625336622 5725107.90215895
490305.956927296 5724883.83346641
491900.28851797 5724659.76477386
493494.620108644 5724435.69608132
495088.951699318 5724211.62738877
