x y
484178.55 5715990.05
486064.020402884 5715725.06441577
487949.490805768 5715460.07883154
489834.961208652 5715195.09324732
491720.431611536 5714930.10766309
493605.90201442 5714665.12207886
495491.372417304 5714400.13649463
497376.842820188 5714135.1509104
484443.535584228 5717875.52040288
486329.005987112 5717610.53481866
488214.476389996 5717345.54923443
490099.94679288 5717080.5636502
491985.417195764 5716815.57806597
493870.887598648 5716550.59248174
495756.358001532 5716285.60689752
497641.828404416 5716020.62131329
484708.521168456 5719760.99080577
486593.99157134 5719496.00522154
488479.461974224 5719231.01963731
490364.932377108 5718966.03405308
492250.402779992 5718701.04846886
494135.873182876 5718436.06288463
496021.34358576 5718171.0773004
497906.813988644 5717906.09171617
484973.506752684 5721646.46120865
486858.977155568 5721381.47562442
488744.447558452 5721116.4900402
490629.917961336 5720851.50445597
492515.38836422 5720586.51887174
494400.858767104 5720321.53328751
496286.329169988 5720056.54770328
498171.799572872 5719791.56211906
485238.492336912 5723531.93161154
487123.962739796 5723266.94602731
489009.43314268 5723001.96044308
490894.903545564 5722736.97485885
492780.373948448 5722471.98927462
494665.844351332 5722207.0036904
496551.314754216 5721942.01810617
498436.785157099 5721677.03252194
485503.47792114 5725417.40201442
487388.948324024 5725152.41643019
489274.418726908 5724887.43084596
491159.889129792 5724622.44526174
493045.359532676 5724357.45967751
494930.82993556 5724092.47409328
496816.300338443 5723827.48850905
498701.770741327 5723562.50292482
485768.463505368 5727302.8724173
487653.933908252 5727037.88683308
489539.404311136 5726772.90124885
491424.87471402 5726507.91566462
493310.345116904 5726242.93008039
495195.815519788 5725977.94449616
497081.285922671 5725712.95891194
