0,"[0.0, 5555620.262000001, 91512571.6698977, 154364432.19849294, 240636497.81445426, 353997548.27908117, 498116363.3636624, 676661722.8297004, 887819403.8598807, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 0.0]"
330,"[0.0, 10555678.497800002, 96504820.52236822, 163246715.840858, 255035107.5683497, 375822588.08412284, 529561749.77200574, 720205185.0016123, 918916212.4285165, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 0.0]"
300,"[0.0, 15555736.733600004, 96522972.69842936, 163279012.46333525, 255087461.94951355, 375901945.4993458, 529676087.4597414, 720363512.1633809, 920004377.9360955, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 0.0]"
270,"[0.0, 5555620.262000001, 91512571.6699002, 154364432.19849724, 240636497.81446132, 353997548.2790917, 498116363.3636779, 676661722.8297211, 887819403.8598961, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 0.0]"
240,"[0.0, 10555678.497800002, 96504820.5223939, 163246715.84090364, 255035107.5684237, 375822588.08423525, 529561749.77216756, 720205185.0018358, 918916212.4286172, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 0.0]"
210,"[0.0, 15555736.733600004, 96522972.69843268, 163279012.4633411, 255087461.94952327, 375901945.4993604, 529676087.4597627, 720363512.1634098, 920004377.9361007, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 0.0]"
180,"[0.0, 5555620.262000001, 91512571.6698945, 154364432.1984871, 240636497.81444514, 353997548.27906734, 498116363.36364216, 676661722.8296721, 887819403.8598607, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 0.0]"
Wind speeds,"[3.9, 4.0, 4.954545454545455, 5.909090909090909, 6.863636363636363, 7.818181818181818, 8.772727272727273, 9.727272727272727, 10.681818181818182, 11.636363636363637, 12.590909090909092, 13.545454545454547, 14.5, 15.454545454545455, 16.40909090909091, 17.363636363636363, 18.31818181818182, 19.272727272727273, 20.227272727272727, 21.181818181818183, 22.136363636363637, 23.090909090909093, 24.045454545454547, 25.0, 26.0]"
150,"[0.0, 10555678.497800002, 96504820.52237043, 163246715.84086174, 255035107.56835583, 375822588.0841322, 529561749.77201927, 720205185.0016309, 918916212.4285194, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 0.0]"
120,"[0.0, 15555736.733600004, 96522972.69843416, 163279012.46334377, 255087461.9495276, 375901945.4993668, 529676087.4597721, 720363512.1634227, 920004377.9361188, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 0.0]"
90,"[0.0, 5555620.262000001, 91512571.66990243, 154364432.19850132, 240636497.81446788, 353997548.2791019, 498116363.3636921, 676661722.8297411, 887819403.8599148, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 0.0]"
60,"[0.0, 10555678.497800002, 96504820.52239898, 163246715.84091273, 255035107.56843835, 375822588.0842575, 529561749.7721994, 720205185.0018808, 918916212.4286364, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 0.0]"
30,"[0.0, 15555736.733600004, 96522972.69843255, 163279012.46334103, 255087461.94952276, 375901945.4993597, 529676087.45976156, 720363512.1634085, 920004377.9361013, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 1000000000.0, 0.0]"
